x,y,sentiment
0.03085742634761117,0.06359211199777458,positive
0.029175419198182242,0.05360744154466543,negative
0.04692632828896288,0.1293736424059076,positive
0.09546684602223347,-0.02323354787937029,positive
0.07142873383377545,0.17033939284535435,positive
0.14987015043498203,0.1404430459212007,positive
0.08613873696241728,0.11819207410930069,positive
0.09890845103591699,0.18139873756743596,positive
0.06181694847500557,0.08979245121354748,negative
0.01763722173857956,0.028771744780658443,positive
0.09415037343037108,0.19318890130748084,positive
0.015577678657037063,0.02913957671909634,negative
0.1914499495628021,0.07771986423093372,positive
0.08329287170776971,0.17543031969421502,positive
0.015874505759940222,0.023938574696071517,negative
0.043832694320099744,0.06628789360225357,negative
0.0927099068536393,0.18951150515851473,positive
0.21229245657373438,0.010368631079098843,positive
0.054141544470723856,0.07596406931288972,negative
0.009985512990795004,0.019195659876531528,positive
0.05975210498660386,0.12892287365071,positive
0.1183078305485909,0.2541342576167044,positive
0.10279823834361536,0.2445224578429996,positive
0.05672749594739508,0.11911805029065625,positive
0.0646909769668604,0.11877280620369798,neutral
0.12162074381943946,0.10118357698905947,positive
0.11161411445108994,0.05397475702402134,positive
0.0768484077150697,0.1632944428121548,positive
0.06874966595932874,0.13798646330856348,negative
0.06853128184311849,0.13164689869658525,positive
0.016096209489622648,0.024030941242323307,negative
0.12974822320963186,0.10835020527864707,positive
0.0644230797824925,0.14427692075823517,negative
0.11147946801471804,0.2659180182558598,positive
0.09044454303039136,0.1633796006921305,negative
0.03031069128343448,0.05582378275976586,positive
0.07688444409048263,0.15760118669964554,positive
0.09470682655567939,0.19258930074563868,positive
0.14236850340005053,0.13384695926123807,positive
0.09074255520406689,0.20489514458226332,positive
0.09647134674196932,0.028454036321830967,positive
0.21152707347799288,0.06152239177742602,positive
0.08285096726679471,0.1746453187101138,positive
0.049537888229844756,0.10104278325714956,negative
0.0774859569828329,0.17417758758216784,positive
0.06919361176665924,0.14829176309812117,positive
0.06583576654957475,0.12565137671877133,positive
0.03543995777727732,0.04124292130302801,negative
0.048991587520135244,0.08811691307407704,positive
0.028006327289893954,0.0527591804231,positive
0.03549409038877747,0.06530657946723731,negative
0.10651872891833924,0.24184161697077522,positive
0.12908553791346328,0.26444485249388233,positive
0.2719206315565015,0.02194806120066295,positive
0.11878550673329687,0.02563650093910962,positive
0.5564340534517821,-0.11549899994908666,positive
0.09662528822400898,0.20384426197641214,positive
0.07719655378073431,0.15805678706130422,positive
0.036857093055117356,0.10466137012878819,positive
0.3227261730746782,0.09115756454999685,positive
0.005596994123912655,0.006661878261366128,negative
0.07069746720826525,0.1683534616455349,positive
0.17681089189150526,0.0418808163373359,positive
0.09089458757328435,0.20087556059852993,positive
0.0650199256066897,0.1333294058050903,positive
